hora,opcion
2/10/2023 20:35:27,Yuca
2/10/2023 20:35:52,Tipico 1
2/10/2023 20:36:55,Yuca
2/10/2023 20:39:34,Pan
3/10/2023 13:55:03,Pan
3/10/2023 13:55:12,Pan
3/10/2023 13:55:12,Pan
3/10/2023 13:55:14,Pan
3/10/2023 13:55:28,Pan
3/10/2023 13:55:54,Pan
3/10/2023 13:55:55,Pan
3/10/2023 13:55:58,Pan
3/10/2023 13:56:01,Pan
3/10/2023 13:56:06,Pan
3/10/2023 13:56:15,Pan
3/10/2023 13:56:26,Tortilla
3/10/2023 13:56:28,Pan
3/10/2023 13:56:34,Pan
3/10/2023 13:56:36,Tortilla
3/10/2023 13:56:37,Pan
3/10/2023 13:56:38,Gallopinto
3/10/2023 13:56:45,Leche agria
3/10/2023 13:56:46,Pan
3/10/2023 13:56:58,Pan
3/10/2023 13:56:59,Pan
3/10/2023 13:57:02,Yuca
3/10/2023 13:57:05,Tipico 1
3/10/2023 13:57:10,Leche agria
3/10/2023 13:57:11,Gallopinto
3/10/2023 13:57:11,Pan
3/10/2023 13:57:19,Pan
3/10/2023 13:57:25,Tortilla
3/10/2023 13:57:26,Pan
3/10/2023 13:57:29,Pan
3/10/2023 13:57:33,Pan
3/10/2023 13:57:35,Pan
3/10/2023 13:57:43,Tortilla
3/10/2023 13:57:45,Leche agria
3/10/2023 13:57:45,Pan
3/10/2023 13:57:48,Pan
3/10/2023 13:57:49,Pan
3/10/2023 13:57:51,Yuca
3/10/2023 13:57:55,Tipico 1
3/10/2023 13:57:59,Leche agria
3/10/2023 13:58:07,Leche agria
3/10/2023 13:58:11,Leche agria
3/10/2023 13:58:18,Leche agria
3/10/2023 13:58:21,Leche agria
3/10/2023 13:58:25,Leche agria
3/10/2023 14:13:38,Pan
3/10/2023 19:31:44,Pan
4/10/2023 8:18:53,Pan
4/10/2023 8:19:00,Pan
1/05/2024 18:04:39,Pan